,text,created_at,user_followers,user_friends,retweet_count,favorite_count,processed_text,label
35,Kegiatan ekstrakurikuler mendapat dukungan dari pemerintah. ,2024-05-14 00:21:46,2342,396,19,249,giat ekstrakurikuler dukung perintah,1
36,Perjudian terjadi di Tangerang. ,2024-06-12 11:28:14,1678,607,332,211,judi tangerang,2
37,Pendidikan meningkatkan keterampilan. ,2024-06-07 19:31:28,8516,1126,409,216,didik tingkat terampil,2
38,Kompetisi mendongkrak perekonomian daerah. ,2024-06-06 11:26:22,9916,1742,227,241,kompetisi dongkrak ekonomi daerah,2
39,Perjudian kasus meningkat selama pandemi. ,2024-03-31 00:08:16,9145,3291,272,135,judi tingkat pandemi,1
40,Pelecehan tersangka akan segera diadili. ,2024-04-16 19:04:47,6885,1290,495,263,leceh sangka adil,2
41,Edukasi lingkungan menjadi daya tarik utama. ,2024-06-06 11:58:49,7582,2409,314,206,edukasi lingkung daya tarik utama,2
42,Hubungan internasional memberikan hiburan. ,2024-03-16 10:10:49,269,4392,11,88,hubung internasional hibur,1
43,Pameran buku mendongkrak perekonomian daerah. ,2024-01-08 10:28:23,331,3386,315,175,pamer buku dongkrak ekonomi daerah,1
44,Pelecehan pelaku berhasil melarikan diri. ,2024-06-05 01:33:14,6379,189,41,78,leceh laku hasil lari,0
45,Pencurian kasus ini menarik perhatian publik. ,2024-02-01 03:12:12,7089,2742,177,14,curi tarik perhati publik,0
46,Perjudian warga diminta waspada. ,2024-01-11 03:50:47,5806,340,372,115,judi warga waspada,1
47,Kesenian memecahkan rekor. ,2024-04-25 20:02:33,1025,2503,427,64,seni pecah rekor,1
48,Museum menarik wisatawan mancanegara. ,2024-03-24 15:28:42,6852,843,4,123,museum tarik wisatawan mancanegara,2
49,Pemberdayaan mendapat pujian banyak pihak. ,2024-02-08 10:25:44,4233,4860,421,49,daya puji,2
50,Penipuan motif masih belum diketahui. ,2024-07-16 18:32:52,9670,4925,26,85,tipu motif,0
51,Kesehatan menjadi ikon baru. ,2024-06-26 19:20:23,4921,3532,400,205,sehat ikon,2
52,Kekerasan barang bukti ditemukan. ,2024-06-28 07:29:16,1999,2973,97,108,keras barang bukti temu,0
53,Volunteer dapat dinikmati di Jakarta. ,2024-07-28 09:52:21,5885,119,392,52,volunteer nikmat jakarta,2
54,Pelatihan memperkenalkan teknologi baru. ,2024-03-07 03:19:34,419,1089,443,142,latih kenal teknologi,2
55,Pembunuhan kejadian ini menggemparkan warga. ,2024-03-13 18:07:41,2640,954,207,180,bunuh jadi gempar warga,0
56,Urban farming memiliki potensi besar. ,2024-02-16 13:24:03,9329,1131,211,264,urban farming milik potensi,1
57,Pemberdayaan melibatkan banyak peserta. ,2024-02-29 20:59:35,2501,4614,343,15,daya libat serta,0
58,Pembakaran tersangka mengaku bersalah. ,2024-07-21 01:31:44,9994,4098,349,290,bakar sangka aku salah,0
59,Pemalsuan lokasi kejadian telah diamankan. ,2024-03-30 10:01:04,7750,2542,411,93,palsu lokasi jadi aman,2
60,Literasi memupuk rasa kebersamaan. ,2024-07-04 21:19:33,8438,4852,51,96,literasi pupuk sama,2
61,Lingkungan hidup menggali potensi lokal. ,2024-04-19 05:59:40,8839,130,389,242,lingkung hidup gali potensi lokal,1
62,Pemberdayaan menciptakan lapangan kerja baru. ,2024-02-04 16:47:11,9607,2457,80,42,daya cipta lapang kerja,2
63,Pembangunan meningkatkan kesadaran masyarakat. ,2024-06-25 07:12:49,4822,4296,56,8,bangun tingkat sadar masyarakat,2
64,Pembobolan polisi masih memburu pelaku. ,2024-02-25 21:54:38,822,662,131,25,bobol polisi buru laku,0
65,Konservasi memperkuat hubungan antarwarga. ,2024-04-06 23:15:57,8245,230,52,218,konservasi kuat hubung antarwarga,1
66,Pencurian penyidikan dilakukan secara intensif. ,2024-06-13 07:50:43,8272,2860,16,59,curi sidi intensif,1
67,Jurnalistik menjadi inspirasi bagi banyak orang. ,2024-02-11 20:46:14,4544,360,280,86,jurnalistik inspirasi orang,2
68,Edukasi lingkungan menyediakan ruang kreativitas. ,2024-07-18 10:20:42,5530,284,92,79,edukasi lingkung sedia ruang kreativitas,1
69,Musik diselenggarakan dengan sangat baik. ,2024-04-25 18:03:06,4662,523,153,80,musik selenggara,1
70,Edukasi lingkungan menambah wawasan masyarakat. ,2024-04-26 00:53:36,8851,66,46,99,edukasi lingkung tambah wawas masyarakat,2
71,Penelitian mendapat respon positif. ,2024-02-27 15:19:15,8425,2873,141,18,teliti respon positif,2
72,Pembakaran warga diminta waspada. ,2024-04-23 00:15:15,3743,4324,355,4,bakar warga waspada,0
73,Festival dapat dinikmati di Purwokerto. ,2024-04-14 10:23:19,3822,2134,122,76,festival nikmat purwokerto,2
74,Entrepreneurship meningkatkan kesadaran masyarakat. ,2024-07-01 08:28:33,2572,1894,316,136,entrepreneurship tingkat sadar masyarakat,2
75,Kegiatan amal mengalami peningkatan. ,2024-07-13 12:10:37,285,233,141,173,giat amal alami tingkat,2
76,Pameran diharapkan memberikan manfaat. ,2024-05-14 09:52:04,2759,4805,363,259,pamer harap manfaat,2
77,Antropologi menjadi ikon baru. ,2024-01-06 10:58:13,7656,1862,324,244,antropologi ikon,2
78,Pembobolan tersangka akan segera diadili. ,2024-06-23 14:47:34,3833,1786,102,2,bobol sangka adil,0
79,Pembangunan mendapat sorotan positif. ,2024-03-20 16:14:56,2977,1449,455,173,bangun sorot positif,2
80,Edukasi lingkungan melibatkan banyak peserta. ,2024-07-20 05:16:55,7635,2117,216,212,edukasi lingkung libat serta,1
81,Perdagangan manusia berhasil ditangkap. ,2024-07-12 05:37:49,6972,1905,485,3,dagang manusia hasil tangkap,0
82,Penggelapan lokasi kejadian telah diamankan. ,2024-04-29 02:39:34,3328,169,119,67,gelap lokasi jadi aman,0
83,Fotografi menciptakan lapangan kerja baru. ,2024-03-17 02:06:25,7374,3761,428,226,fotografi cipta lapang kerja,2
84,Korupsi berhasil ditangkap. ,2024-01-31 19:25:18,9127,4396,78,241,korupsi hasil tangkap,0
85,Perjudian tersangka mencoba melarikan diri. ,2024-06-23 06:22:35,5141,1924,21,238,judi sangka coba lari,1
86,Penyerangan tersangka mencoba melarikan diri. ,2024-04-10 00:03:39,3484,437,358,159,serang sangka coba lari,0
87,Perayaan acara tersebut sukses besar. ,2024-02-03 21:36:06,4888,120,166,43,raya acara sukses,2
88,Ekonomi kreatif menggairahkan sektor pariwisata. ,2024-01-22 13:30:55,2983,1115,44,205,ekonomi kreatif gairah sektor pariwisata,1
89,Penelitian dapat dinikmati di Tangerang. ,2024-06-10 12:09:58,7135,2821,221,125,teliti nikmat tangerang,2
90,Arkeologi memberikan hiburan. ,2024-04-18 14:51:03,1477,3997,159,270,arkeologi hibur,1
91,Kegiatan amal menjadi sorotan media. ,2024-02-23 12:55:14,7787,2975,139,109,giat amal sorot media,1
92,Budaya mendukung pembangunan berkelanjutan. ,2024-01-30 18:37:33,2942,1296,284,98,budaya dukung bangun lanjut,0
93,Penipuan barang bukti ditemukan. ,2024-01-13 20:57:18,4256,1647,380,268,tipu barang bukti temu,0
94,Pengembangan diri meningkatkan keterampilan. ,2024-06-20 18:20:16,4512,1360,111,129,kembang tingkat terampil,2
95,Seni kontemporer memecahkan rekor. ,2024-01-15 23:03:04,5143,4701,298,120,seni kontemporer pecah rekor,1
96,Teater mendukung pembangunan berkelanjutan. ,2024-05-09 10:42:46,943,3124,134,209,teater dukung bangun lanjut,2
97,Konser memperkenalkan teknologi baru. ,2024-07-22 00:31:07,4135,2733,195,158,konser kenal teknologi,2
98,Pencurian polisi masih memburu pelaku. ,2024-02-19 10:02:11,2079,439,263,254,curi polisi buru laku,0
99,Edukasi lingkungan meningkatkan keterampilan. ,2024-06-28 00:07:55,3359,2876,422,32,edukasi lingkung tingkat terampil,2
100,Narkoba pelaku berhasil melarikan diri. ,2024-05-18 13:20:47,9188,4749,405,139,narkoba laku hasil lari,0
101,Antropologi mengalami peningkatan. ,2024-04-20 02:46:42,6852,687,496,164,antropologi alami tingkat,2
102,Infrastruktur mendapat respon positif. ,2024-04-25 23:24:34,455,2633,138,111,infrastruktur respon positif,2
103,Penipuan berhasil ditangkap. ,2024-06-28 06:30:29,371,1147,55,55,tipu hasil tangkap,0
104,Korupsi motif masih belum diketahui. ,2024-04-11 03:13:22,247,4738,355,169,korupsi motif,0
105,Penyerangan tersangka mencoba melarikan diri. ,2024-03-08 11:01:49,6313,164,281,212,serang sangka coba lari,0
106,Penyelundupan lokasi kejadian telah diamankan. ,2024-03-17 22:03:32,5932,2057,162,128,selundup lokasi jadi aman,2
107,Terorisme tersangka melawan saat ditangkap. ,2024-03-24 18:08:59,2772,3803,472,100,terorisme sangka lawan tangkap,0
108,Penyelundupan kasus meningkat selama pandemi. ,2024-04-29 02:31:20,1774,1813,3,98,selundup tingkat pandemi,1
109,Perpustakaan menambah wawasan masyarakat. ,2024-03-05 16:04:05,9648,4426,391,109,pustaka tambah wawas masyarakat,2
110,Kegiatan amal mendapat pujian banyak pihak. ,2024-01-15 08:39:13,6276,1054,467,63,giat amal puji,2
111,Pengembangan diri diharapkan memberikan manfaat. ,2024-07-05 07:31:45,5749,550,318,208,kembang harap manfaat,2
112,Pembakaran kejadian ini menggemparkan warga. ,2024-01-10 03:57:28,2885,2412,68,10,bakar jadi gempar warga,0
113,Perampokan terjadi di Banyumas. ,2024-01-16 04:05:16,8682,4516,287,80,ampo banyumas,1
114,Teknologi informasi memperkuat budaya lokal. ,2024-03-02 05:39:08,6651,1693,43,290,teknologi informasi kuat budaya lokal,2
115,Inovasi menjadi pusat perhatian. ,2024-02-13 22:09:17,1395,2326,348,205,inovasi pusat perhati,1
116,Karnaval menciptakan lapangan kerja baru. ,2024-01-23 18:52:50,2209,2239,114,190,karnaval cipta lapang kerja,2
117,Korupsi tersangka mengaku bersalah. ,2024-06-10 07:05:17,3139,3608,135,231,korupsi sangka aku salah,0
118,Pencemaran nama baik tersangka akan segera diadili. ,2024-06-26 18:54:58,5317,2834,8,239,cemar nama sangka adil,0
119,Konservasi menggairahkan sektor pariwisata. ,2024-07-16 01:41:57,9938,877,189,10,konservasi gairah sektor pariwisata,1
120,Kekerasan motif masih belum diketahui. ,2024-07-21 20:53:29,3419,4048,189,199,keras motif,0
121,Penggelapan berhasil ditangkap. ,2024-01-10 04:56:08,2236,1288,148,279,gelap hasil tangkap,0
122,Penipuan online tersangka akan segera diadili. ,2024-05-24 02:59:01,1573,4815,312,3,tipu online sangka adil,0
123,Kebudayaan daerah menjadi inspirasi bagi banyak orang. ,2024-01-10 22:39:32,1340,51,392,161,budaya daerah inspirasi orang,2
124,Rekreasi menjadi daya tarik utama. ,2024-06-07 01:32:24,3123,1128,171,55,rekreasi daya tarik utama,2
125,Pameran memperkuat hubungan antarwarga. ,2024-01-18 06:00:32,2720,2101,351,24,pamer kuat hubung antarwarga,1
126,Komunitas menarik wisatawan mancanegara. ,2024-02-22 10:29:52,7651,2654,472,172,komunitas tarik wisatawan mancanegara,1
127,Korupsi warga diminta waspada. ,2024-07-10 08:26:02,917,2400,402,292,korupsi warga waspada,0
128,Bazar acara tersebut sukses besar. ,2024-03-27 14:59:45,2188,2532,347,8,bazar acara sukses,2
129,Perdagangan manusia berhasil ditangkap. ,2024-04-27 13:14:51,1885,635,289,3,dagang manusia hasil tangkap,0
130,Penculikan tersangka melawan saat ditangkap. ,2024-06-28 02:44:41,6387,1554,329,25,culi sangka lawan tangkap,0
131,Kompetisi membuka peluang investasi. ,2024-07-10 10:26:16,3619,63,440,59,kompetisi buka peluang investasi,1
132,Teater meningkatkan keterampilan. ,2024-03-05 19:42:36,6675,3555,226,53,teater tingkat terampil,2
133,Penganiayaan motif masih belum diketahui. ,2024-07-11 07:12:08,7624,3346,393,250,aniaya motif,0
134,Film menjadi trend baru. ,2024-03-31 20:34:58,5222,3185,259,99,film trend,2
135,Perampokan lokasi kejadian telah diamankan. ,2024-07-12 07:53:19,9814,4688,289,89,ampo lokasi jadi aman,2
136,Arkeologi diharapkan memberikan manfaat. ,2024-02-01 20:45:40,2347,2938,337,290,arkeologi harap manfaat,2
137,Penggelapan kejadian ini menggemparkan warga. ,2024-04-29 18:11:04,5240,3915,263,134,gelap jadi gempar warga,0
138,Infrastruktur menjadi pusat perhatian. ,2024-03-11 01:14:04,776,2789,70,134,infrastruktur pusat perhati,1
139,Turnamen meningkatkan kesadaran masyarakat. ,2024-07-10 16:28:45,3276,3421,431,146,turnamen tingkat sadar masyarakat,1
140,Konser menarik wisatawan mancanegara. ,2024-07-22 02:03:33,2621,2463,363,103,konser tarik wisatawan mancanegara,2
141,Penggelapan penyidikan dilakukan secara intensif. ,2024-07-14 04:34:42,2646,2098,380,192,gelap sidi intensif,1
142,Perjudian kasus meningkat selama pandemi. ,2024-02-22 08:53:39,8928,3199,169,300,judi tingkat pandemi,1
143,Antropologi mendapat respon positif. ,2024-06-23 02:33:47,6424,1018,179,0,antropologi respon positif,2
144,Perdagangan manusia tersangka mencoba melarikan diri. ,2024-05-01 06:32:38,1836,1866,227,259,dagang manusia sangka coba lari,0
145,Kejahatan siber penyidikan dilakukan secara intensif. ,2024-04-07 09:47:00,9089,549,461,161,jahat siber sidi intensif,0
146,Penculikan masih dalam penyelidikan. ,2024-03-24 10:07:23,7691,3873,19,15,culi lidi,0
147,Pameran diharapkan memberikan manfaat. ,2024-02-18 18:16:22,8004,274,355,285,pamer harap manfaat,2
148,Korupsi barang bukti ditemukan. ,2024-04-05 01:04:18,4296,4341,44,85,korupsi barang bukti temu,0
149,Kompetisi mendapat sorotan positif. ,2024-02-23 16:05:48,3083,2724,144,261,kompetisi sorot positif,2
150,Pembakaran tersangka akan segera diadili. ,2024-01-13 08:21:26,4416,2438,306,112,bakar sangka adil,0
151,Pelayanan masyarakat membuka peluang investasi. ,2024-06-01 06:04:17,494,1737,194,104,layan masyarakat buka peluang investasi,1
152,Penyerangan barang bukti ditemukan. ,2024-05-02 20:37:53,5706,3849,261,129,serang barang bukti temu,1
153,Desain grafis memperkenalkan teknologi baru. ,2024-07-26 16:37:11,3283,4043,137,291,desain grafis kenal teknologi,1
154,Pemalsuan tersangka akan segera diadili. ,2024-06-30 04:09:53,5965,4169,378,257,palsu sangka adil,0
155,Seni kontemporer membuka peluang investasi. ,2024-07-12 09:43:54,9880,4982,219,139,seni kontemporer buka peluang investasi,1
156,Kegiatan ekstrakurikuler menjadi sorotan media. ,2024-04-11 07:33:44,374,3772,252,106,giat ekstrakurikuler sorot media,1
157,Infrastruktur dapat dinikmati di Tangerang. ,2024-05-17 12:35:49,2411,1600,497,49,infrastruktur nikmat tangerang,2
158,Rekreasi mendongkrak perekonomian daerah. ,2024-07-11 21:28:24,3470,2000,218,153,rekreasi dongkrak ekonomi daerah,2
159,Start-up mendapat respon positif. ,2024-06-19 02:05:49,6466,4435,140,271,startup respon positif,2
160,Pameran buku dapat dinikmati di Bandung. ,2024-02-28 13:50:21,453,1997,188,60,pamer buku nikmat bandung,2
161,Pengembangan diri mendapat pujian banyak pihak. ,2024-02-05 07:50:34,5350,4670,158,122,kembang puji,2
162,Desain produk diharapkan memberikan manfaat. ,2024-06-01 01:25:10,946,2824,450,146,desain produk harap manfaat,2
163,Penganiayaan tersangka mencoba melarikan diri. ,2024-03-17 19:27:19,1146,2605,104,225,aniaya sangka coba lari,0
164,Energi terbarukan meraih penghargaan internasional. ,2024-03-17 23:36:35,9851,1517,415,251,energi baru raih harga internasional,2
165,Cyberbullying berhasil ditangkap. ,2024-04-24 15:26:20,7302,70,454,124,cyberbullying hasil tangkap,1
166,Terorisme polisi masih memburu pelaku. ,2024-06-05 05:47:03,4796,2003,370,274,terorisme polisi buru laku,0
167,Pencemaran nama baik penyidikan dilakukan secara intensif. ,2024-04-07 16:15:52,4806,4756,350,42,cemar nama sidi intensif,1
168,Perdagangan manusia pelaku berhasil melarikan diri. ,2024-04-23 07:55:58,1287,1776,116,261,dagang manusia laku hasil lari,0
169,Penyelundupan terjadi di Bandung. ,2024-03-17 12:44:49,4425,2715,422,137,selundup bandung,1
170,Penculikan polisi berjanji mengusut tuntas. ,2024-07-25 20:36:02,4482,1114,78,30,culi polisi janji usut tuntas,0
171,Penghijauan menyediakan fasilitas baru. ,2024-02-04 00:57:51,4933,3945,416,119,hijau sedia fasilitas,2
172,Turnamen menyediakan fasilitas baru. ,2024-07-06 08:50:09,9285,3479,133,143,turnamen sedia fasilitas,1
173,Kejahatan siber kejadian ini menggemparkan warga. ,2024-01-18 10:36:23,5383,1320,257,255,jahat siber jadi gempar warga,0
174,Kejahatan siber ada saksi yang melihat kejadian. ,2024-07-28 23:00:14,8435,589,211,284,jahat siber saksi jadi,0
175,Begal polisi masih memburu pelaku. ,2024-02-08 14:15:14,7034,4588,133,183,begal polisi buru laku,0
176,Pembunuhan kejadian ini menggemparkan warga. ,2024-02-19 22:56:14,6215,2004,106,70,bunuh jadi gempar warga,0
177,Festival meningkatkan keterampilan. ,2024-04-08 00:15:30,7045,266,52,259,festival tingkat terampil,2
178,Terorisme polisi masih memburu pelaku. ,2024-04-12 16:35:27,2632,4635,382,103,terorisme polisi buru laku,0
179,Begal masih dalam penyelidikan. ,2024-01-22 14:31:27,4444,3837,287,247,begal lidi,0
180,Pemalsuan kejadian ini menggemparkan warga. ,2024-05-29 12:38:43,7075,2127,464,26,palsu jadi gempar warga,0
181,Perpustakaan memecahkan rekor. ,2024-01-08 16:46:26,5364,470,438,131,pustaka pecah rekor,1
182,Konser memupuk rasa kebersamaan. ,2024-04-05 12:27:37,8922,136,271,16,konser pupuk sama,1
183,Penculikan terjadi di Surabaya. ,2024-03-29 15:40:09,3223,972,130,197,culi surabaya,0
184,Wisata sejarah menjadi perbincangan hangat. ,2024-06-29 17:25:35,7275,1052,52,128,wisata sejarah bincang hangat,1
185,Pelecehan barang bukti ditemukan. ,2024-03-27 18:09:21,9151,988,413,225,leceh barang bukti temu,1
186,Pembobolan ada saksi yang melihat kejadian. ,2024-03-31 16:21:20,4771,2277,284,16,bobol saksi jadi,0
187,Pencemaran nama baik tersangka akan segera diadili. ,2024-02-03 13:28:43,8089,316,115,159,cemar nama sangka adil,0
188,Penyelundupan penyidikan dilakukan secara intensif. ,2024-01-14 10:58:05,4692,461,217,276,selundup sidi intensif,1
189,Edukasi lingkungan meningkatkan kualitas hidup. ,2024-01-28 16:47:28,4593,543,436,235,edukasi lingkung tingkat kualitas hidup,2
190,Literasi acara berjalan lancar. ,2024-07-01 18:38:48,2484,2358,143,88,literasi acara jalan lancar,2
191,Pemalsuan kasus meningkat selama pandemi. ,2024-03-08 19:29:41,2686,767,367,15,palsu tingkat pandemi,0
192,Pembobolan tersangka akan segera diadili. ,2024-03-29 05:05:29,2683,1859,130,227,bobol sangka adil,0
193,Literasi menggairahkan sektor pariwisata. ,2024-03-11 06:37:22,7101,2292,17,97,literasi gairah sektor pariwisata,2
194,Kebudayaan daerah mendapat sorotan positif. ,2024-07-26 10:32:56,4980,774,307,298,budaya daerah sorot positif,2
195,Pembobolan polisi masih memburu pelaku. ,2024-02-12 10:19:41,1715,2710,37,289,bobol polisi buru laku,0
196,Pelecehan motif masih belum diketahui. ,2024-05-05 06:37:06,5543,3917,63,152,leceh motif,0
197,Pembobolan korban diminta melapor. ,2024-02-02 05:39:10,3276,238,389,288,bobol korban lapor,0
198,Pameran seni memecahkan rekor. ,2024-01-19 20:41:40,5975,1411,220,136,pamer seni pecah rekor,1
199,Inovasi acara tersebut sukses besar. ,2024-04-16 17:56:51,6799,2474,366,249,inovasi acara sukses,2
200,Teknologi informasi melibatkan banyak peserta. ,2024-03-11 21:23:55,1148,2935,498,162,teknologi informasi libat serta,1
201,Kuliner menggali potensi lokal. ,2024-06-14 18:13:22,4755,4040,111,90,kuliner gali potensi lokal,1
202,Olimpiade dapat dinikmati di Depok. ,2024-01-25 11:21:04,994,1800,479,108,olimpiade nikmat depok,2
203,Karnaval memberikan hiburan. ,2024-07-08 06:06:52,2798,3386,109,234,karnaval hibur,0
204,Kekerasan berhasil ditangkap. ,2024-04-04 22:50:35,9902,1670,351,238,keras hasil tangkap,0
205,Pelecehan motif masih belum diketahui. ,2024-03-27 03:47:22,7875,4545,162,285,leceh motif,0
206,Rekreasi meraih penghargaan internasional. ,2024-01-28 04:12:45,8150,967,137,165,rekreasi raih harga internasional,2
207,Pengembangan diri menyediakan fasilitas baru. ,2024-07-01 16:22:55,8102,3582,143,123,kembang sedia fasilitas,1
208,Terorisme warga diminta waspada. ,2024-05-19 19:12:11,4306,999,247,279,terorisme warga waspada,0
209,Penyerangan masih dalam penyelidikan. ,2024-03-29 17:41:35,443,4535,330,123,serang lidi,0
210,Pelestarian melibatkan banyak peserta. ,2024-05-08 07:40:12,4652,2489,385,35,lestari libat serta,1
211,Fotografi memiliki potensi besar. ,2024-02-01 23:19:57,5041,3592,446,41,fotografi milik potensi,2
212,Pelestarian mendongkrak perekonomian daerah. ,2024-05-31 19:15:24,7965,3650,371,107,lestari dongkrak ekonomi daerah,2
213,Kekerasan masih dalam penyelidikan. ,2024-02-01 19:56:36,3240,310,36,143,keras lidi,0
214,Infrastruktur mengalami peningkatan. ,2024-04-17 13:56:27,446,2748,468,159,infrastruktur alami tingkat,1
215,Pelatihan menggairahkan sektor pariwisata. ,2024-03-24 06:08:56,840,188,456,67,latih gairah sektor pariwisata,2
216,Pemberdayaan menggairahkan sektor pariwisata. ,2024-01-25 15:07:40,6463,3796,391,218,daya gairah sektor pariwisata,2
217,Penghijauan menarik wisatawan mancanegara. ,2024-02-29 20:23:03,2621,4783,2,146,hijau tarik wisatawan mancanegara,2
218,Kesenian mendorong inovasi lokal. ,2024-03-10 07:56:00,7921,4758,347,16,seni dorong inovasi lokal,2
219,Penipuan online barang bukti ditemukan. ,2024-01-27 16:55:49,4775,3511,169,11,tipu online barang bukti temu,0
220,Terorisme kejadian ini menggemparkan warga. ,2024-04-21 18:16:05,9662,2738,486,150,terorisme jadi gempar warga,0
221,Pemalsuan kejadian ini menggemparkan warga. ,2024-05-24 16:35:50,6096,3588,248,53,palsu jadi gempar warga,0
222,Kejahatan siber warga diminta waspada. ,2024-05-30 22:42:42,9187,1835,151,45,jahat siber warga waspada,0
223,Penculikan pelaku berhasil melarikan diri. ,2024-03-18 00:26:46,6889,1911,156,248,culi laku hasil lari,0
224,Entrepreneurship memberikan hiburan. ,2024-02-11 10:28:46,2980,2992,232,32,entrepreneurship hibur,1
225,Teknologi telah mencapai kesepakatan. ,2024-01-06 20:45:53,3446,1295,445,173,teknologi capai sepakat,1
226,Narkoba pelaku berhasil melarikan diri. ,2024-04-28 03:54:24,8983,502,28,64,narkoba laku hasil lari,0
227,Penyelundupan masih dalam penyelidikan. ,2024-07-01 13:33:16,3838,1653,410,74,selundup lidi,1
228,Desain grafis memberikan hiburan. ,2024-06-23 16:52:44,5909,793,420,296,desain grafis hibur,1
229,Penganiayaan pelaku berhasil melarikan diri. ,2024-07-08 01:21:12,4238,1411,190,294,aniaya laku hasil lari,0
230,Bazar memperkenalkan teknologi baru. ,2024-07-08 07:16:48,1819,2964,394,12,bazar kenal teknologi,2
231,Penggelapan warga diminta waspada. ,2024-01-09 01:48:49,6976,1255,388,4,gelap warga waspada,0
232,Kekerasan korban diminta melapor. ,2024-05-08 04:34:45,7362,1575,227,62,keras korban lapor,0
233,Cyberbullying lokasi kejadian telah diamankan. ,2024-01-27 10:17:31,7274,1928,183,77,cyberbullying lokasi jadi aman,1
234,Penyerangan berhasil ditangkap. ,2024-03-28 20:09:26,9964,3425,338,208,serang hasil tangkap,1
